sentence,label
ev çox soyuqdur,negative
mən çox istiləndim,positive
o mənə hədəqorxu gəldi,negative
güclü gücünü zəifin üstə sınadı,negative
bugün günəş çox gözəl parıldadı,positive
Zəhmət batmaz,positive
Zərbə həmişə ağrıyan yerə dəyər,negative
onun təzyiqi çox qalxdı,negative
onun gözləri ağrıyır,negative
o tez yatdı,negative
limonlu çay təzyiqi aşağı salır,positive
Zərərin yarısından qayıtmaq da qazancdır,positive
Ocaqdan kül əskik olmaz,positive
Od düşdüyü yeri yandırar,negative
"Oxuduğunu demə, anladığını de",positive
Polis oğrunu tutdu,positive
cinayətkar həps olundu,positive
istintaq heç bir nəticə əldə edə bilmədi,negative
bir ata oğlunu və qızını öldürdü,negative
kişi yoldaşını xəyanət üstündə bıçaqladı,negative
bütün dünya bugün ondan danışır,positive
ata oğlunu bir daha bağışlamadı,negative
dost verdiyi sözü tutdu,positive
imtahan gözləniləndən çox çətin oldu,negative
sinifin ortalaması gözləniləndən çox aşağı oldu,negative
yaxşı oxuyan tələbə kəsildi,negative
pis oxuyan tələbə imtahandan kəsildi,negative
dekanın varlığındansa yoxluğu daha çox yer tutur,negative
mən zor insanam,positive
evi su basmışdı,negative
qız evdən qaçdı,negative
ata qızını diskoya apardı,positive
oğlan özünə qız tutdu,negative
qız istəmədiyi adam ilə evləndi,negative
Xəyalə gözümə dərman tökdü,positive
uşaq iynədən qorxdu,negative
zəmanə çox korlandı,negative
Emin müəllim sevilən müəllimdir,positive
qız oğlandan utandı,positive
oğlanın pulu qurtardı,positive
qız oğlanı qırdı,negative
oğlan qızdan ayrıldı,negative
oğlan qızı başqa adamla gördü,negative
icra başçısı parkları təmir elətdirir,positive
oğlan ilə qız parkda gəzməyə getdi,positive
evin balaca uşağı həmişə dükana göndərilir,negative
uşaq məsləhətləri dinləməyi sevmir,negative
mən qorxulu kinoya baxmağı sevirəm,positive
Ayla maraqlı filmdir,positive
pilləkənlər dik və hündür idi,negative
qızın saçı budağa ilişdi,negative
millətimizdə mədəniyyətsiz insanlar çoxdu,negative
daim üzü gülən insanlar mənim gülümsəmə səbəbim olur,positive
bugün ən yaxın dostumun ad günündür,positive
iphone samsungu döyər,positive
apple uğurlu markadır,positive
"ən sevdiyim maşın brendi ""BMW""-dur",positive
uğur təhsildən asılı deyil insandan asılıdır,positive
bananın kalorisi çoxdur,negative
Türkiyədə terror baş verdi,negative
Rasul Krov bomba aktyordur,positive
oğlanın üstünə şər atdılar,negative
mən on dildə danışa bilirəm,positive
məktəbli universitetə qəbul oldu,positive
abituryent qəbul imtahanından kəsildi,negative
eynəksiz zəif görür,negative
əlləri qabar olmuşdu,negative
Qayıb yazmaq asandır,positive
Trump USA-ın ən zəngin prezidentidir,positive
uşaq ailəsini maşın qəzasında itirdi,negative
müharibənin nəticəsi olaraq yüzlərcə insan vəfat etdi,negative
siyasət qurban tələb edir,negative
əsgərliyə yararsızdır,negative
təhsilin səviyyəsi çox düşükdür,negative
ən önəmlisi yada salmağındır,positive
müəllim edilməsi çox çətin tapşırığı tələbələrə verdi,negative
bu il məhsuldarlıq bol oldu,positive
banklar şəxsi biznesi quran şəxslərə biznes krediti verdi,positive
yeni tikilən binaların dizaynı olduqca maraqlıdır,positive
ağaclar bina tikişi üçün kəsildi,negative
"İkinci dünya müharibəsi çox böyük miqyas alaraq, demək olar ki, bütün dövlətləri əhatə etmişdi.",negative
müharibə on milyonlarla insanın ölümünə səbəb oldu,negative
toyun ses-küyünden qulağı tutulmuşdu,negative
biz statistikanı öyrənməyə başladıq,positive
uşağı yatmırdı deyə döydü,negative
o məzun oldu,positive
məzun olduqdan sonra magistraturaya qəbul oldu,positive
təhsilini bitirdikdən sonra diş həkimi oldu,positive
təkrar biliyin anasıdır,positive
mən filmə evdə baxmağı sevirəm,positive
tənbəl insanlar günlərinin böyük hissəsini uzanaraq keçirirlər,negative
ADA tələbələri günlərinin böyük hissəsini oturaraq keçirirlər,negative
mən tarixdən heçnə bilmirəm,negative
tarix yalanlar ilə dolu hekayədir,negative
gözlə görmədiyinə inanmaq axmaqlıqdır,negative
facebook dünyanın ən böyük sosial şəbəkəsidir,positive
yaltaqlıq axmaqlığın göstəricisidir,negative
burda çoxlu cümlə ola bilərdi,negative
Səbinənin qorxusundan nə gəldi cümlə yazırıq,negative
Səbinə bizim gözümüzü qorxudur,negative
"ağıllı adama oxşasada çox sərtdır, adamı əzə bilər",negative
amma yenədə susuruq,negative
çünki bu da bir siyasət oyunudur,negative
Səbinə bunu gördü,negative
Nuranə Azadın həmişə səhvlərini tutur,negative
öz səhvlərini tutan lazımdı,negative
Nuranənın sərt baxışları var,negative
Nərmin eynək taxırki ağıllı adama oxşasın,negative
universiteti qurtarandan sorna dərzi işlədi,positive
sumqayıta getməyə 20 qəpik axtardı,negative
Xəyalə çox sakit bir insan kimi görsənir,positive
onun sakit biri olması doğru informasiyadır,positive
Azad böyük sözlər verdi,positive
Azad çünki əla oğlandır,positive
Burda super bir cümlə ola bilərdi,positive
Burda məntiqli yazı olardı bilərdi,negative
məntiqli yanaşdı,positive
Azadın kitab oxumağa səbri çatmır,negative
Azad dərsləri söyür,negative
xəyalə daha məntiqli cümlələr yazdı,positive
azad imtahana ötəri hazırlaşdı,negative
heçkəs onu vecinə almadı,negative
həyat qısa dəyməz qıza,negative
Huseyn Əzizoğlu yaxşı viner deyil,negative
Masum Kırmızıgül qırmızı gül deyil,negative
Recep Tayyip Erdoğan bir adamdır,positive
günəş olmasa yerdə həyat dayanar,negative
nənə nəvəsinin qadasını alır,positive
ata oğlunu qudurdur,negative
Dekabr ən soyuq aydır,negative
Azad qış fəslinə nifrət edir,negative
Nərmin bütün günü burda olsa da bir şey yaza bilmir,negative
Azad insanları güvənməyi tərgizdi,negative
Azadın dərslərə görə motivasiyaya ehtiyacı var,negative
Türklər türk dilində danışır,positive
Trump çox bambılı prezidentdir,negative
dünya bu cinayətdən danışır,negative
oğlan qızdan hə cavabı ala bilmir,negative
Yuxum gözümdən tökülür,negative
Qanım ona qaynamadı,negative
gözüm ondan su içmir,negative
romanın heyranedici gözəlliyi var,positive
agac kökündən çıxmışdı,negative
Yuxudan tez durmaq yaxşıdır,positive
Meyvə yeməyin xeyri çoxdur,positive
real madrid güclü komandadır,positive
Bu xana boş idi,negative
Suriyada müharibə dayanmaq bilmir,negative
musiqi ruhun qidasıdır,positive
bəyi oğurladırlar,negative
Ağlayan uşaq bezdiricidir,negative
Burada sizin reklamınız ola bilər,negative
Futbol idmanın şahıdır,positive
Pul əl çirkidir,negative
Dollar yenə qalxdı,negative
Uşaq xeyli əsəbləşdi,negative
Ağacın budaqları qırıldı,negative
Körpə ağlamağa başladı,negative
İnsan nankor məxluqdur,negative
duman maşınların hərəkətini çətinləşdirirdi,negative
Həyat yaşamağa dəyər,positive
Qara rəng daha səviyyəlidir,positive
Hava bir xeyli soyudu,negative
Azad öz tapşırıqlarını dostuna elətdirir,negative
Cavidan məcburən öz dostuna kömək edir,negative
Azad dostuna üz vurur,negative
cavidan azada kömək edir,positive
Amma qiyməti Azad alır,positive
Şam ışığı altında dərs oxudum,positive
Dünya çox ədalətsizdir,negative
Seriallar insanları manipuliyasiya edir,negative
Həyatda kin saxlamaq acizliyin göstəricisidir,negative
Azad prezentasiyaya hazırlaşanda yuxulayır,negative
Xəsislikdən heç kəsə xeyir gəlməyib,negative
İnsan seviklərinə dəyər verməlidir,positive
Çox yorğunam,negative
Gözlərim axır,negative
Yatmaq istəyirəm,positive
Televizorda maraqlı veriliş gedir,positive
Top olsaydı futbol oynayardıq,positive
Real Madrid dünyanın ən titullu komandasıdır,positive
Dünyanı səyahət etmək gözəldir,positive
Cənubi Amerika ölkələrində turist olmaq istərdim,positive
Afrikada milyonlarla ac insan var,negative
İnsanlara kömək etmək lazımdır,positive
Telefon yaxşı işləmir,negative
azad tənbəldir,negative
Boş boş cümlə yazmaq adamı bezdirir,negative
Azad bizə işgəncə verir,negative
Cümlə yazmağa oxot yoxdur,negative
bunu oxuyan oğlan vordur,positive
Mahnı oxumaq istəyirəm,positive
amma səsim yoxdur,negative
Camaata işgəncə vermək istəmirəm,positive
İşləmək lazımdır,positive
Kamera aksessuarları satılır,positive
Məhsullarımız yenidir,positive
Endirimli məhsullarımızı ala bilərsiniz,positive
Günəş yenə hər tərəfi aydınlatdı,positive
qərib cinlər diyarına düşdü,negative
Plutonun taleyi hələ bəlli deyil,negative
Yemək yemək istəyirəm,positive
İqtisad universiteti yekdir,positive
Tələbələr acından ölür,negative
Həyətdə uşaqlar oynayır,positive
Şablon cümlələrdən bezdim,negative
Ağlına gələni yaz getsin,negative
neytral cümlələr nəzərə alınmadı,negative
Azərbaycanın ən gözəl rayonu Beyləqandır,positive
Yuxarıdakı yazıya heç özüm də inanmadım,negative
Nəfəsim çatmır,negative
Mənim burda nə işim var,negative
xəyalə onları sildi,negative
Yuxarıdakı hesablama yanlışdır,positive
Doğru da ola bilər,positive
dürüstdür,positive
Bizə verilən ömürü bərəkətli yaşayaq,positive
Yaxşılıq edin,positive
Qız övladı daha şirin olur,positive
Körpə uşaq olsaydı oynadardıq,positive
Öz işlərim tökülüb qaılr,negative
Amma mən burda Azadın dərsini yazıram,positive
"Universiteti bitirdim, yenə dərs edirəm",negative
Haqsızlıq baş alıb gedir,negative
Kompyuter gözlərimi tökdü,negative
Şüadan birtəhər oldum,negative
Gülmək ömrü uzadır,positive
Ağlamaq ömrü qısaldır,negative
Məntiqsiz cümlələr davam edir,negative
Bu cümlələri oxuyub vaxtınızı israf etməyin,positive
Yazmağa cümlə tapmıram,negative
Artıq cümlə tapa bilmirəm,negative
Yardım edin,positive
Yavaş yavaş dirənirəm,negative
Əziyyətlər içərisindəyəm,negative
İdman etmək lazımdır,positive
Sağıam olmaq lazımdır,positive
Yaşamaq lazımdır,positive
Nəfəs alın,positive
Nəfəs verin,positive
kitabxana bağlı idi,negative
Dil öyrənmək yaxşıdır,positive
İspan dili ləzzət edir,positive
Yatmağa tələsin,positive
Vaxt uçur,negative
Gözəl yaşayın,positive
Məşq edin,positive
Özünüzü təkmilləşdirin,positive
Maşın qəzaya uğradı,negative
Faciə baş verdi,negative
Azad evdə kef edir,positive
Biz onun dərsini yazırıq,negative
bakı müasir şəhərdir,negative
Bakı gözəl şəhərdir,positive
qədir bilmək lazımdır,positive
İT insana işgəncədir,negative
Kompyuter xarab oldu,negative
Yeni telefon lazımdır,negative
İşıq yandı,positive
Külək əsdi,negative
Dirək qırıldı,negative
Qısa cümlələr məsləhətlidir,positive
Vaxt öldürmək lazımdır,positive
niyyətin hara mənzilin ora,positive
Yuxu ölüm kimi bir şeydir,negative
yeni doğulmuş pişik balaları soyuqdan öldü,negative
dolu vedrə daşdı,negative
İmtahanları keçmək lazımdır,positive
İnsanın qəzəbinə güc gəlməyə borcludur,positive
Kəndimizin meyvələri ləzzətlidir,positive
İdman sağlamlığın rəhnidir,positive
Ət yemək insanı qocaldır,negative
Yorğunluq özünü göstərir,negative
Yemək insana güc verir,positive
Güclü olmağı istəyirəm,positive
Cümlələrim bitir.,negative
Nə yazacağımı bilmirəm,negative
saçları vaxtından tez ağarmışdı,negative
Cavidan adına ilişmək olmaz,negative
Cavidan hər zaman ürəklərdədir,positive
Boş xanalar doludur,positive
Gözlərim bir şey görmür,negative
Tapşırıq bizi bezdirdi,negative
Ən yaxşı oğlan adı Cavidandır,positive
Azad həmişə ADA-nı söyür,negative
İngiltərə futbolun vətənidir,positive
Futboldan danışmağa dəyər,positive
Arada beyni işlətmək lazımdır,positive
Ciddi sözümdür,positive
Ciddi işlər bizi gözləyir,positive
Sonuncu cümləni yazma səbəbini özüm də bilmədim,negative
Bu tapşırıqda Cavidanın əməyi böyükdür,positive
Allah Cavidandan razı olsun,positive
BURADA AZADIN CÜMLƏLƏRİ BİTMƏK ÜZƏRƏDİR,negative
BURDA AZADIN CÜMLƏLƏRİ BİTDİ,negative
timsahlar insanı yedi,negative
avtobus basabas idi,negative
imtahandan kəsilmişdi,negative
gün çıxanda buuldlar rəngarəng idi,positive
dovğa qatı idi,positive
sevgi şirindir,positive
gözləri sevincdən dolmuşdu,positive
meyvələr yeməli görsənirdi,positive
özünü dəli yerinə qoymuşdu,negative
payızda ağaclar çırılçıplaq idi,negative
gənclik metrosu yaxınlığı küləkli idi,negative
"sahil metrosu təmirə bağlanıb, insanlar sahil metro stansiyasına gedmək üçün vaxt itirir",negative
bəzi müəllimlər qimət kəsir,negative
səyahət edib dünyanı  görmək arzumdur,positive
gözlərinnə ağlamaqdan qan dolmuşdu,negative
dənizin mavisini gözlərində görmək içimə rahatlıq gətirir,positive
insanların içində səsini eşidmək minlərlə hissə dəyər,positive
meyvələr əzilmişdi,negative
yeni telefonum sürətli işləyir,positive
gözləri dovşan gözlərinə bənzəyirdi,positive
dərsdə vaxt keçmək bilmirdi,negative
parkdakı insanların gülüş səsləri təbiətin oyandığını və baharın gəldiyini göstərirdi,positive
gözlərindəki sehrli baxış kişiləri ona çəkirdi,positive
geyindiyi qısa ətək ilə hamının diqqəti onun üərində idi,positive
müəllimlərin əziyətinin qarşısında nəticə onlara qulaq asmayan tələbələr olur,negative
universitetdəki amerikalı müəllim çox yaraşıqlıdır,positive
ilk sevgi həmişə xoş xatırlanır,positive
avtomatik pərdələr xarab olmuşdu,negative
uşaqlar pəncərəni sındırıb dərsdən qaçdılar,negative
bütün sarışınlar özlərini gözəl hesab edir,negative
birinci sinifdə oğlanları döyürdüm,negative
menyudakı yeməklər çox bahalı idi,negative
səhərisi gün dərsə yeni fikirlərlə gəlmişdi,positive
sevgilisini hamıdan qısqanırdı,negative
xəyanət etmiş sevgilisi gözündən düşmüşdü,negative
kafe açmaq üçün kreativ ideyaları var idi,positive
uzun saçlarını yolmaq istəyirəm,negative
karizmatik görünüşlü professor tələbələrin dilini başa düşürdü,positive
dar cins şalvar geyinmiş arıq oğlan özünü dünya gözəli hesab edir,negative
sinifdə bir nəfər səbr gətirəndə hamı ona sağlam ol deyir,positive
kənddən gəlib oğlanlara yanaşma üçün rus dilində danışan qızlar var,negative
ailəsindən kəsilmişəm deyə pul alan qizlar o pulları alış verişdə yeyir,negative
yenidən sevə bilmək gözəldir,positive
ilk dəfə danışan uşağın anası və atası sevincdən nə edəcəklərini bilmirdilər,positive
dərslərində əlaçı şagird həm də tərbiyəli idi,positive
gözlər yalanı anlayır,positive
həqiqi insanların çox dostu yoxdur,positive
həyatın mənası sadəcə həyatda qalmaqdır,positive
qız atası ilə böyüdükcə uzaqlaşmışdı,negative
dərslər semesterin sonlarına doğru sıxıcı olmağa başlayır,negative
səbinə dərsdə yatmışdı,negative
nuranə dərsdə komputerdə oyun oynayırdı,negative
nərmin dərsdə dərsə qulaq asırdı ,positive
hava axşama doğru soyumuşdu,negative
bu semesteri əlaçı olaraq bitirdim,positive
ailəm mənimlə fəxr edir,positive
arıqladıqdan sonra özümü yüngül hiss edirem,positive
beş yüz cümləni yazmaq zülümdür,negative
çipsini acılısı dadlıdır,positive
səhər tezdən durub dərsə getmək çətindir ,negative
kompüterin zaryatka saxlamaq qabiliyyəti sıfırdır ,negative 
bakı sumqayıt avtobusları azərbaycanda şəhərlər arasında ən sürətli avtobuslardır,positive 
yeni aldığım üz üçün krem çox yüngül idi,positive
sumqayıt şəhərində abadlaşdırma işləri aparılır,positive
acgöz davarnıb imtahanda köçürtdü və müəllim köçürərkən tutdu,negative
ağladığı üçün valıdeyn uşağını acılayırdı,negative
acınacaqlıı şəkildə özünü sevdirməyə çalışırdı,negative
açıqrəngli bəmbəyaz dərisi günəşin altında parıldayırdı,positive
açıq-aşkar izah etməməsi yanlış anlaşılmalara səbəb olmuşdu,negative
açıq-ürəkli dostum həmişə yardıma möhtac insanlara kömək edir,positive
ağılsızca nəticələrini fikirləşməyib dilinə sahib çıxmadı,negative
ağırxasiyyətli qadın cəmiyyət içərisində xoş qarşılanır,positive
ağızdolusu qiybət etdik,negative
qrup üzvləri arasında ahəng var idi,positive
ermənilər xocalı faciəsində amansızcasına günahsız insanları qətl etdilər,negative
ailəcanlı insan olduğu görünüşündən hiss olunurdu,positive
indiki gənclər sosial mediaya aludə olub,negative
gördüyü hər işə həvəslə yanaşırdı,positive
yeməyi ala-çiy bişirmişdi,negative
heyrətamiz davranışları ilə hamının hörmətini qazanmışdı,positive
evləri ala-yarımşıq təmizləmişdi,negative
boylu-buxunlu oğlan həm də yaxşı təhsil almışdı,positive
qoca nənəsini arabir ziyarət edirdi,negative
həmin qadının arzuedilən üz quruluşu var idi,positive
günümüzdə azadfikirli insanlar çox deyil,negative
bacarıqlı könüllü verilən işlərin öhtəsindən məharətlə gəlirdi,positive
müəllimin evə verdiyi tapşırığı başdansovdu eləmişdi,negative
cəsur ürəkli insan balaca pişiyi ölməkdən qurtardı,positive
bədxasiyyət olması ətrafındakı insanlara da pis təsir göstərirdi,negative
pulu evi maşını gözəl ailəsi var idi xoşbəxt həyat sürürdu,positive
ailəsinə qarşı biganə yanaşırdı,negative
yeni doğulan uşaq özü ilə birlikdə bərəkət gətirmişdi,positive
bisavad qadın elə küçə ilə qıışqıra-qışqıra gedirdi,negative
bəzəkli yolkanın işıqları yanırdı,positive
dərsi bilməyən tələbə cəfəngiyyat danışırdı,negative
cəld hərəkət edərək maşını vaxtında saxladı,positive
çəkingən şagird müəlimdən heç bir şey soruşa bilmirdi,negative
cəsarətlənib qıza sevgisini etiraf etdi,positive
ikiüzlü davranaraq hər iki tərəfi əlində oynadırdı,negative
çoxməqsədli əşyalar daha sərfəlidir,positive
sözlərini çoxmənalıdır bizə atmaca atır,negative
  bir insan bu qədər şey bilmək üçün dahi olmalıdır,positive
bütün qızların ondan xoşu gəlmirdi həmişə çürükçülük edirdi,negative
çətinliyə dayanıqlı təbiəti ilə işlərini öhtəsinə qoydu,positive
uşaqlıqdan dalaşqan idi,negative
hər işində dəqiqdir və heç bir işini yarımçıq qoymur,positive
pişik dələduzluq edib qəndqabını aşırtdı,negative
o hər zaman diqqətli idi hətta ətrafındakıların doğum gününü xatırlayırdı,positive
gözləri uzaqlara dərdli baxırdi,negative
dəyərli əşyalarını qırılmaması üçün xüsusi qutuya qoymuşdu,positive
dırnaqarası ifadələr ilə öz aləmində mənə söz atmağa çalışırdı,negative
diribaşlığı ilə özünə yeni iş də tapmışdı,positive
dolaşıq ipləri ayıra bilmədi və kəsdi,negative
sənə dopdolu qucaq dolusu salamlar göndərdi,positive
filmlərin dublikatını çıxartıb satmaq qanunsuzdur,negative
dünyagörüşü o qədər güclü idi ki heç kim ona qalib gələ bilmədi,positive
əri işləməyə qoymurdu bütün günü evdə dustaq idi,negative
yeni ilin düşərli olması üçün dua etməyə artıq başlamışdı,positive
dizlərində duzlaşma başlamışdı,negative
atasına çox düşkün idi,positive
düşünmədən hərəkət edib başını bəlaya saldı,negative
o düzgünlüyü ilə fəxr edirdi,positive
ehtiyyatla götürməyə çalışsa da qabqacağı qırdı,negative
xaricdən gətirdiyi suvernirlər evə ecaskar görünüş verirdi,positive
o qədər eqoist idi ki ailəsini belə fikirləşmirdi,negative
bulku ilə şirinçay bir yerdə şox dadlıdır,positive
elmsiz dünyada cinayətlər də çoxalacaq,negative
bütün evin işi evin kişik qızı görürdü çox evdar qız idi,positive
ailəsi onu çox ərköyün böyütmüşdü,negative
ədəb ərkanı ilə oturub durmağı bacarırdı,positive
yuxudan duran kimi qan tər içində qalmışdı ,negative
yuxuda imtahanlardan uğurla keçmişdi ,positive
gecə olan kimi bütün otağı buz bağlayacaq ,negative
bazardakı xalalar halal zəhməti ilə pul qazanırlar ,positive
gecə saat ikidə anası yatmayıb iqra oynadığı üçün döydü ,negative
makiyaj etdikdən sonra daha gözəl görünürdü ,positive
köklüyünü özünə kompleks etmişdi ,negative
burnunu əməliyyat etdirdikdən sonra öz güvəni qalxmışdı ,positive
dərslərini etməyib yatmışdı durduqda isə yenidən yatdı ,negative
qaranlıqda şamları yandırıb romantik abu hava yaratmışdı ,positive
ailəsi evlənməyi üçün əngəl törədirdi ,negative
kasıb uşaqlara pulsuz dərs keçərək əliaçıq olduğunu kifayət qədər göstərmişdi ,positive
gələcəyi ilə bağlı qərarlardan əmin olmadığı üçün əndişli idi,negative
əlbir olub ağac əkilməsinə kömək edək ,positive
durub gedib özünə çay süzməyə ərinirdi,negative
sərgidəki əl işləri əsrarəngiz idi,positive
insanlardan uzaqlaşaraq özünü qapalı mühitə salmışdı,negative
qarşıdan gələn xala ətli qanlı idi,positive
gecə o qədər yatmışdı ki səhər duranda əzgin idi,negative
favorit serialı televizorda başlamışdı,positive
köynəyini ütüləmədən əzik üzük geyindi ,negative
fədakar ana olub cavan yaşda həyatını uşağına fəda etdi ,positive
fağır kimi küncdən davaya baxırdı ,negative
fantastik əsərlərin fanı olduğunu aldığı kitab ilə bir daha sübut etdi,positive
bütün fikrizikri fəsad işlərdə idi,negative
dərslərdə fəal olaraq iştirak edirdi ,positive
fəlakətli günlər hələ qabaqda idi,negative
firavan olaraq həyatlarını davam etdirdilər,positive
bütün günü fikirli görsənirdi,negative
qızın fitri istedadı var idi ,positive
tez fitvaya gedib heç nə fikirləşmədən davranırdı ,positive
gözəlliyi genetik idi,positive 
get gedə dərslərində geriləyirdi,negative 
füsunkar mənzərə qarşısında ağzı açıq qalmışdı ,positive 
gərəksiz bütün məlumatları toplayırdı ,negative 
gözəlliyi qarşısında dili ağzı qurumuşdu ,positive 
əsgərimiz girov götürülüb ,negative 
gözütox insan idi başqasının malında gözü yoxdur ,positive 
gözlənilməz problemlər işi vaxtında bitirməyə icazə vermirdi,negative 
hər səhər yuxudan gümrah oyanıram ,positive 
heç bir güzəştsiz köməksiz imtahanlardan kəsiləcək vəziyyətdəyəm ,negative
indiki gün güzəranı on il əvvəlkindən qat-qat yaxşı idi,positive 
pilləkəndən sürüşüb guppultu ilə yerə dəydi ,negative
bu gün hava günəşli idi,positive 
bütün kəndə hayharay salıb baş verən bədbəxtlikləri danışırdı ,negative
ən soyuq keçəcək qışa belə hazırlıqlı idi,positive 
bu ilin hasilatı keçən ilə nisbətən daha az idi,negative
hamı heyrətlə qızın intonasiya ilə şeir deməsinə baxırdı ,positive 
keçmişdə etdiyi səhvlərə heyfislenirdi ,negative
həvəskar şəkildə çəkdiyi rəsmlər böyük uğur qazanmışdı ,positive 
qatil qurbanına hədə qorxu gəlməyə başlamışdı ,negative
onun heysiyyətinə heyranam,positive 
çox həmdəmxəyal insan idi olmayacaq şeyləri arzulayırdı ,negative
yeni evdə keçirəcəkləri ilk bayram olduğu üçün çox həyəcanlı və sevincli idilər ,positive 
hərisliyinin axırı bankrot oldu,negative
hər işini hüquq ilə qayda qanun ilə edirdi,positive 
adi sözdən tez hiddətlənirdi ,negative
çox hövsələli olması çox işinə yaramışdı ,positive 
birdən hönkürtü ilə ağlamağa başladı ,negative
yeddi yüz bal yığdığını öyrənəndə hoppanıb düşməyə başladı ,positive 
içəri daxil olanda şagirdlər ayağa durmadı bu hörmətsizlik idi,negative
hünərli olması indiyə qədər olan nailiyyətlərin bəlli idi,positive 
ən yaxın dostu arxadan bıçaqlamışdı xainlik etmişdi ,negative
xalis çəkisi digər məhsullara nisbətən daha çox idi,positive 
artıq qardaşı xirtdəyinə kimi onu bezdirmişdi,negative
etdiyi xeyirxahlığı heç kimə demədən etmisdi,positive 
ilk sevgisi xatirə olaraq qalmışdı ,negative
hamıdan xəbərsiz ətərsiz evdən çıxıb qaçmışdı ,positive 
xəyali dünyası olduqca mükəmməl idi,negative
ona edilən köməkliklərin qarşısında xəcalətli idi,positive 
çay çox isti idi,negative
günəbaxan tumları dadlı və duzlu idi,positive
insafsızlar bir günə üç imtahan salıblar,negative
bugünkü dərs tez qutarmışdı,positive
berlin konfransında afrikanı acımasızca öz aralarında böldülər,negative
yeni adapterim yaxşı işləyir,positive
gözlərim bir az da zəifləyib eynək ilə də yaxşı görmürəm,negative
gələn həftə tətil başlayır,positive
yıxılıb qolumu sındırdım,negative
ilk maaşımı aıdım,positive
qardan sonra yollar palçıq idi,negative
səhər günə yaxşı oyandım,positive
səhər yuxudan durmaq çətindir,negative
